transaction_id;date;description;amount;type;currency;account;reference;code;source_file
20251102_110100000_-1400_gastos noviembre 2025.xls;2025-11-02;COFFEE GARDEN\        SAN JOSE;-1400;expense;CRC;main_crc;110100000;CP;gastos noviembre 2025.xls
20251102_110100000_-25000_gastos noviembre 2025.xls;2025-11-02;SERVICENTRO CICSA\    SAN JOSE;-25000;expense;CRC;main_crc;110100000;CP;gastos noviembre 2025.xls
20251102_406431854_2000_gastos noviembre 2025.xls;2025-11-02;TEF DE: 959932377;2000;transfer;CRC;main_crc;406431854;TF;gastos noviembre 2025.xls
20251102_74836_-17815_gastos noviembre 2025.xls;2025-11-02;SEGURO BELD121489;-17815;expense;CRC;main_crc;74836;TF;gastos noviembre 2025.xls
20251103_110200000_-1400_gastos noviembre 2025.xls;2025-11-03;AUTO MERCADO SANTO DOMHEREDIA;-1400;expense;CRC;main_crc;110200000;CP;gastos noviembre 2025.xls
20251103_110200000_-3100_gastos noviembre 2025.xls;2025-11-03;CASTILLO COUNTRY CLUB\SAN RAFA;-3100;expense;CRC;main_crc;110200000;CP;gastos noviembre 2025.xls
20251103_110200000_-6295_gastos noviembre 2025.xls;2025-11-03;AUTO MERCADO SANTO DOMHEREDIA;-6295;expense;CRC;main_crc;110200000;CP;gastos noviembre 2025.xls
20251104_110300000_-700_gastos noviembre 2025.xls;2025-11-04;MUNDOVENDING NAYAX   \HEREDIA;-700;expense;CRC;main_crc;110300000;CP;gastos noviembre 2025.xls
20251105_110400000_-700_gastos noviembre 2025.xls;2025-11-05;MUNDOVENDING NAYAX   \HEREDIA;-700;expense;CRC;main_crc;110400000;CP;gastos noviembre 2025.xls
20251105_406417499_15000_gastos noviembre 2025.xls;2025-11-05;TEF DE: 959932377;15000;transfer;CRC;main_crc;406417499;TF;gastos noviembre 2025.xls
20251106_406432690_3000_gastos noviembre 2025.xls;2025-11-06;TEF DE: 959932377;3000;transfer;CRC;main_crc;406432690;TF;gastos noviembre 2025.xls
20251106_406444210_5500_gastos noviembre 2025.xls;2025-11-06;TEF DE: 959932377;5500;transfer;CRC;main_crc;406444210;TF;gastos noviembre 2025.xls
